1,-1.99735,0.999323
1.05,-1.99571,0.9989
1.1,-1.99404,0.998466
1.15,-1.91962,0.170758
1.2,-1.98844,0.996981
1.25,-1.9097,0.165223
1.3,-1.98048,0.994837
1.35,-1.97499,0.993326
1.4,-1.88793,0.068406
1.45,-1.96042,0.989185
1.5,-1.95117,0.986528
1.55,-1.94069,0.983408
1.6,-1.92835,0.979668
1.65,-1.91398,0.975251
1.7,-1.8975,0.969876
1.75,-1.87978,0.963861
1.8,-1.79345,0.532831
1.85,-1.74299,0.139675
1.9,-1.81021,0.938713
1.95,-1.68433,0.154815
2,-1.6955,0.528229
2.05,-1.70765,0.893688
2.1,-1.66205,0.867524
2.15,-1.61014,0.83801
2.2,-1.54101,0.767553
2.25,-1.44225,0.581473
2.3,-1.34925,0.305388
2.35,-1.27482,0.0575068
2.4,-1.2006,0.0430393
2.45,-1.14828,0.0097952
2.5,-1.10527,0.0162325
2.55,-1.06326,0.00837333
2.6,-1.02945,0.000174933
2.65,-0.995528,0.0122524
2.7,-0.963772,0.00328284
2.75,-0.934208,0.00780764
2.8,-0.90721,0.000976
2.85,-0.885607,0.0168341
2.9,-0.85974,0.000182756
2.95,-0.838473,0.000196267
3,-0.816216,0.000202311
3.05,-0.797839,0.00254436
3.1,-0.779977,0.00332124
3.15,-0.762054,0.00221404
3.2,-0.746564,0.0018752
3.25,-0.727707,0.000824178
3.3,-0.713206,9.63556e-05
3.35,-0.699324,0.00297564
3.4,-0.686974,0.00262009
3.45,-0.673163,0.000888178
3.5,-0.659599,8.03556e-05
3.55,-0.648259,0.0018176
3.6,-0.634723,0.00133156
3.65,-0.624111,0.000475733
3.7,-0.61353,0.000153244
3.75,-0.603053,0.00279182
3.8,-0.593615,0.00174507
3.85,-0.583635,0.00108231
3.9,-0.574687,0.000274133
3.95,-0.565631,0.000482133
4,-0.55651,0.000548267
