1,-1.94963,0.669427
1.05,-1.92687,0.185348
1.1,-1.99403,0.998463
1.15,-1.99179,0.997867
1.2,-1.98856,0.99701
1.25,-1.98512,0.996095
1.3,-1.90342,0.104267
1.35,-1.97465,0.992786
1.4,-1.96818,0.991415
1.45,-1.96032,0.989195
1.5,-1.9512,0.986515
1.55,-1.94093,0.983457
1.6,-1.84309,0.283568
1.65,-1.91413,0.975192
1.7,-1.89809,0.970075
1.75,-1.88032,0.963901
1.8,-1.86005,0.957268
1.85,-1.83607,0.948292
1.9,-1.79364,0.858477
1.95,-1.6866,0.117756
2,-1.74511,0.910838
2.05,-1.631,0.377456
2.1,-1.65534,0.84209
2.15,-1.60991,0.837347
2.2,-1.54309,0.78093
2.25,-1.42684,0.443432
2.3,-1.34143,0.297921
2.35,-1.2682,0.0981582
2.4,-1.20619,0.0356622
2.45,-1.14778,0.0288693
2.5,-1.10384,0.019205
2.55,-1.06372,0.0105148
2.6,-1.03019,0.00396693
2.65,-0.994928,0.00465707
2.7,-0.962382,0.00535751
2.75,-0.933632,0.00892764
2.8,-0.907273,0.00155876
2.85,-0.883812,0.00331271
2.9,-0.86166,0.00281813
2.95,-0.838145,4.23111e-05
3,-0.817614,0.000996978
3.05,-0.797486,0.00228409
3.1,-0.78025,0.0008096
3.15,-0.763174,0.00512676
3.2,-0.746237,0.000896356
3.25,-0.730278,0.00133369
3.3,-0.714234,0.000492089
3.35,-0.699258,0.00204658
3.4,-0.686037,0.000196267
3.45,-0.672884,0.00108196
3.5,-0.66142,0.000396444
3.55,-0.64885,0.0028736
3.6,-0.636338,5.22667e-05
3.65,-0.625566,0.001504
3.7,-0.613326,0.00132871
3.75,-0.60457,0.000208356
3.8,-0.594101,0.000595911
3.85,-0.585259,0.000711111
3.9,-0.576478,0.000497422
3.95,-0.565514,0.00103822
4,-0.558311,0.000359822
